ID,ControlGroupArea,Panel,OriginInterlocking,OriginSignal,Route,Exit,DestinationPlatform,DestinationLineName,DestinationDirectionOfMoveUpDn,Class,ARS,Notes,OverSetting,PreferredRouteOption,TipLocOriginate,RouteElectrified,OriginPlatform,TipLocDestination,TipLocIntermediate,OriginLineName,EntryDateTime,TraversalTimes
879,CAG4,6,PP,S425,R425BS,S1243,NULL,CR,Dn,S,1,NULL,0,NULL,PRSP,E,3,LOVR243,NULL,DML,2021-02-16 11:49:33.723,20
880,CAG4,6,PP,S425,R425CM,S675,NULL,NULL,Dn,M,1,NULL,1,NULL,PRSP,E,3,HOVE675,NULL,DML,2021-02-16 11:49:33.723,20
881,CAG4,6,PP,S426,R426AC,S420,1,UV,Up,C,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,NULL,2021-02-16 11:49:33.723,20
882,CAG4,6,PP,S426,R426AM,S420,1,UV,Up,M,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,NULL,2021-02-16 11:49:33.723,20
883,CAG4,6,PP,S426,R426AW,S420W,1,UV,Up,W,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,NULL,2021-02-16 11:49:33.723,20
884,CAG4,6,PP,S426,R426BC,S422,2,UML,Up,C,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,NULL,2021-02-16 11:49:33.723,20
885,CAG4,6,PP,S426,R426BM,S422,2,UML,Up,M,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,NULL,2021-02-16 11:49:33.723,20
886,CAG4,6,PP,S427,R427AM,S431,NULL,NULL,Dn,M,1,NULL,1,NULL,PRSP,E,2,NULL,NULL,UML,2021-02-16 11:49:33.723,20
887,CAG4,6,PP,S427,R427BS,S1243,NULL,CR,Dn,S,1,NULL,0,NULL,PRSP,E,2,LOVR243,NULL,UML,2021-02-16 11:49:33.723,20
888,CAG4,6,PP,S427,R427CM,S675,NULL,NULL,Dn,M,1,NULL,1,NULL,PRSP,E,2,HOVE675,NULL,UML,2021-02-16 11:49:33.723,20
889,CAG4,6,PP,S429,R429AM,S431,NULL,NULL,Dn,M,1,NULL,1,NULL,PRSP,E,1,NULL,NULL,UV,2021-02-16 11:49:33.723,20
890,CAG4,6,PP,S429,R429BS,S1243,NULL,CR,Dn,S,1,NULL,0,NULL,PRSP,E,1,LOVR243,NULL,UV,2021-02-16 11:49:33.723,20
891,CAG4,6,PP,S429,R429CM,S675,NULL,NULL,Dn,M,1,NULL,1,NULL,PRSP,E,1,NULL,NULL,UV,2021-02-16 11:49:33.723,20
892,CAG4,6,PP,S430,R430AC,S420,1,UV,Up,C,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,10
893,CAG4,6,PP,S430,R430AM,S420,1,UV,Up,M,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,10
894,CAG4,6,PP,S430,R430AW,S420W,1,UV,Up,W,1,NULL,1,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,10
895,CAG4,6,PP,S430,R430BC,S422,2,UML,Up,C,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,10
896,CAG4,6,PP,S430,R430BM,S422,2,UML,Up,M,1,NULL,0,NULL,NULL,E,NULL,PRSP,NULL,UML,2021-02-16 11:49:33.723,10
897,CAG4,6,BN,S431,R431ASNP,S1263,NULL,NULL,Dn,SNP,1,NULL,0,NULL,NULL,E,NULL,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
899,CAG4,6,BN,S431,R431BM,S435,NULL,NULL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
900,CAG4,6,BN,S431,R431BW,S435W,NULL,NULL,Dn,W,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
901,CAG4,6,BN,S434,R434M,S430,NULL,UML,Up,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.723,10
902,CAG4,6,BN,S435,R435AC,SBNPLAT8,8,NULL,Dn,C,1,Cat 4 - Call-on into bay platform,0,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
903,CAG4,6,BN,S435,R435AM,SBNPLAT8,8,NULL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
905,CAG4,6,BN,S435,R435B1C,SBNPLAT7,7,NULL,Dn,C,1,Cat 4 - Call-on into bay platform Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,3,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
906,CAG4,6,BN,S435,R435B1M,SBNPLAT7,7,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,3,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
908,CAG4,6,BN,S435,R435B2C,SBNPLAT7,7,NULL,Dn,C,1,Cat 4 - Call-on into bay platform Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
909,CAG4,6,BN,S435,R435B2M,SBNPLAT7,7,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
911,CAG4,6,BN,S435,R435B3C,SBNPLAT7,7,NULL,Dn,C,1,Cat 4 - Call-on into bay platform,0,1,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
912,CAG4,6,BN,S435,R435B3M,SBNPLAT7,7,NULL,Dn,M,1,NULL,0,1,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
914,CAG4,6,BN,S435,R435C1C,SBNPLAT6,6,NULL,Dn,C,1,Cat 4 - Call-on into bay platform,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
915,CAG4,6,BN,S435,R435C1M,SBNPLAT6,6,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
917,CAG4,6,BN,S435,R435C2C,SBNPLAT6,6,NULL,Dn,C,1,Cat 4 - Call-on into bay platform,0,1,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
918,CAG4,6,BN,S435,R435C2M,SBNPLAT6,6,NULL,Dn,M,1,NULL,0,1,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
920,CAG4,6,BN,S435,R435D1C,SBNPLAT5,5,NULL,Dn,C,1,Cat 4 - Call-on into bay platform Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
921,CAG4,6,BN,S435,R435D1M,SBNPLAT5,5,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
924,CAG4,6,BN,S435,R435D2M,SBNPLAT5,5,NULL,Dn,M,1,NULL,0,1,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
927,CAG4,6,BN,S435,R435E1M,SBNPLAT4,4,NULL,Dn,M,1,NULL,0,1,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
930,CAG4,6,BN,S435,R435E2M,SBNPLAT4,4,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
933,CAG4,6,BN,S435,R435FM,S439,3,NULL,Dn,M,1,NULL,0,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
935,CAG4,6,BN,S436,R436AM,S430,NULL,UML,Up,M,1,NULL,0,NULL,BRGHRC,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
936,CAG4,6,BN,S436,R436BSNP,S1253,NULL,NULL,Up,SNP,1,Siding code 1N provided in ITPS timetable,0,NULL,BRGHRC,E,NULL,BRGHTTY,NULL,NULL,2021-02-16 11:49:33.723,20
938,CAG4,6,BN,S436,R436CSNP,S1259,NULL,NULL,Up,SNP,1,Siding code 2 provided in ITPS timetable,0,NULL,BRGHRC,E,NULL,BRGHTTY,NULL,NULL,2021-02-16 11:49:33.723,20
940,CAG4,6,BN,S438,R438AS,S1262,NULL,NULL,Up,S,1,"Issue with TORR when train in-rear of 450 signal. Alstom/NR expected to fix. If this is not resolved, will only be ARS when train is not in rear (see tab 4.5. Applies to all routes from 438 signal (see * below)",0,NULL,BRGHTN,E,3,BRGH262,NULL,NULL,2021-02-16 11:49:33.723,20
941,CAG4,6,BN,S438,R438BS,S1255,NULL,NULL,Up,S,1,Requires No 3 release on points 1839. *,0,NULL,BRGHTN,E,3,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
942,CAG4,6,BN,S438,R438CS,S1250,NULL,CR,Up,S,1,*,0,NULL,BRGHTN,E,3,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
943,CAG4,6,BN,S438,R438DM,S434,NULL,NULL,Up,M,1,*,1,NULL,BRGHTN,E,3,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
944,CAG4,6,BN,S438,R438ESNP,S436,NULL,NULL,Up,SNP,1,*,0,NULL,BRGHTN,E,3,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
946,CAG4,6,BN,S438,R438FM,S701,NULL,NULL,Dn,M,1,*,1,NULL,BRGHTN,E,3,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.723,20
948,CAG4,6,BN,S439,R439M,SBNPLAT3,3,NULL,Dn,M,1,NULL,0,NULL,BRGHTN,E,3,BRGHTN,NULL,NULL,2021-02-16 11:49:33.723,20
950,CAG4,6,BN,S440,R440AS,S1262,NULL,NULL,Up,S,1,NULL,0,NULL,BRGHTN,E,4,LOVR262,NULL,NULL,2021-02-16 11:49:33.723,20
951,CAG4,6,BN,S440,R440B1S,S1255,NULL,NULL,Up,S,1,Requires No 3 release on points 1839,0,1,BRGHTN,E,4,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
952,CAG4,6,BN,S440,R440B2S,S1255,NULL,NULL,Up,S,1,Cat 5 - Alternative Route (see note 3 in table 1),0,2,BRGHTN,E,4,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
953,CAG4,6,BN,S440,R440C1S,S1250,NULL,CR,Up,S,1,NULL,0,1,BRGHTN,E,4,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
954,CAG4,6,BN,S440,R440C2S,S1250,NULL,CR,Up,S,1,Cat 4 - Alternative route - unsuitable for ARS to set,0,2,BRGHTN,E,4,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
955,CAG4,6,BN,S440,R440D1M,S434,NULL,NULL,Up,M,1,NULL,1,1,BRGHTN,E,4,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
956,CAG4,6,BN,S440,R440D2M,S434,NULL,NULL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1),1,2,BRGHTN,E,4,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
957,CAG4,6,BN,S440,R440E1SNP,S436,NULL,NULL,Up,SNP,1,Only to be called in non-permissive mode,0,2,BRGHTN,E,4,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
958,CAG4,6,BN,S440,R440E1SP,S436,NULL,NULL,Up,SP,1,Only to be called in non-permissive mode,0,2,BRGHTN,E,4,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
961,CAG4,6,BN,S440,R440F1M,S701,NULL,NULL,Dn,M,1,NULL,1,2,BRGHTN,E,4,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.723,20
962,CAG4,6,BN,S440,R440F2M,S701,NULL,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1),0,1,BRGHTN,E,4,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.723,20
963,CAG4,6,BN,S442,R442AS,S1262,NULL,NULL,Up,S,1,Routes from 442 also test sub-area BTNP5 but cannot be shown on MCS due to inability to split track circuit. Applies to all routes from 442 signal,0,NULL,BRGHTN,E,5,LOVR262,NULL,NULL,2021-02-16 11:49:33.723,20
964,CAG4,6,BN,S442,R442B1S,S1255,NULL,NULL,Up,S,1,Requires No 3 release on points 1839,0,1,BRGHTN,E,5,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
965,CAG4,6,BN,S442,R442B2S,S1255,NULL,NULL,Up,S,1,Cat 5 - Alternative Route (see note 3 in table 1),0,2,BRGHTN,E,5,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
966,CAG4,6,BN,S442,R442C1S,S1250,NULL,CR,Up,S,1,Cat 5 - Alternative Route (see note 3 in table 1),0,1,BRGHTN,E,5,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
967,CAG4,6,BN,S442,R442C2S,S1250,NULL,CR,Up,S,1,Cat 4 - Alternative route - unsuitable for ARS to set,0,2,BRGHTN,E,5,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
968,CAG4,6,BN,S442,R442D1M,S434,NULL,NULL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1),1,1,BRGHTN,E,5,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
969,CAG4,6,BN,S442,R442D2M,S434,NULL,NULL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1),1,2,BRGHTN,E,5,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
970,CAG4,6,BN,S442,R442E1SNP,S436,NULL,NULL,Up,SNP,1,Only to be called in non-permissive mode,0,1,BRGHTN,E,5,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
971,CAG4,6,BN,S442,R442E1SP,S436,NULL,NULL,Up,SP,1,Only to be called in non-permissive mode,0,1,BRGHTN,E,5,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
972,CAG4,6,BN,S442,R442E2SNP,S436,NULL,NULL,Up,SNP,1,Only to be called in non-permissive mode Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,BRGHTN,E,5,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
973,CAG4,6,BN,S442,R442E2SP,S436,NULL,NULL,Up,SP,1,Only to be called in non-permissive mode Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,BRGHTN,E,5,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
974,CAG4,6,BN,S442,R442F1M,S701,NULL,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,BRGHTN,E,5,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.723,20
975,CAG4,6,BN,S442,R442F2M,S701,NULL,NULL,Dn,M,1,NULL,1,1,BRGHTN,E,5,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.723,20
976,CAG4,6,BN,S444,R444A1S,S1255,NULL,NULL,Up,S,1,Requires No 3 release on points 1839,0,1,BRGHTN,E,6,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
977,CAG4,6,BN,S444,R444A2S,S1255,NULL,NULL,Up,S,1,Cat 4 - Alternative route - unsuitable for ARS to set Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,BRGHTN,E,6,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
978,CAG4,6,BN,S444,R444B1S,S1250,NULL,CR,Up,S,1,NULL,0,1,BRGHTN,E,6,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
979,CAG4,6,BN,S444,R444B2S,S1250,NULL,CR,Up,S,1,Cat 4 - Alternative route - unsuitable for ARS to set Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,BRGHTN,E,6,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
980,CAG4,6,BN,S444,R444C1M,S434,NULL,NULL,Up,M,1,NULL,1,1,BRGHTN,E,6,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
981,CAG4,6,BN,S444,R444C2M,S434,NULL,NULL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,BRGHTN,E,6,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
986,CAG4,6,BN,S444,R444E1M,S701,NULL,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,BRGHTN,E,6,BRGHRC,NULL,NULL,2021-02-16 11:49:33.723,20
987,CAG4,6,BN,S444,R444E2M,S701,NULL,NULL,Dn,M,1,NULL,1,1,BRGHTN,E,6,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.723,20
988,CAG4,6,BN,S446,R446A1S,S1255,NULL,NULL,Up,S,1,Requires No 3 release on points 1839,0,1,BRGHTN,E,7,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
989,CAG4,6,BN,S446,R446A2S,S1255,NULL,NULL,Up,S,1,Cat 4 - Alternative route - unsuitable for ARS to set Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,BRGHTN,E,7,LOVR255,NULL,NULL,2021-02-16 11:49:33.723,20
990,CAG4,6,BN,S446,R446B1S,S1250,NULL,CR,Up,S,1,NULL,0,1,BRGHTN,E,7,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
991,CAG4,6,BN,S446,R446B2S,S1250,NULL,CR,Up,S,1,Cat 4 - Alternative route - unsuitable for ARS to set Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,0,2,BRGHTN,E,7,LOVR250,NULL,NULL,2021-02-16 11:49:33.723,20
992,CAG4,6,BN,S446,R446C1M,S434,NULL,NULL,Up,M,1,NULL,1,1,BRGHTN,E,7,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
993,CAG4,6,BN,S446,R446C2M,S434,NULL,NULL,Up,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,BRGHTN,E,7,NULL,NULL,NULL,2021-02-16 11:49:33.723,20
998,CAG4,6,BN,S446,R446E1M,S701,NULL,NULL,Dn,M,1,NULL,1,1,BRGHTN,E,7,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.810,20
999,CAG4,6,BN,S446,R446E2M,S701,NULL,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,BRGHTN,E,7,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.810,20
1000,CAG4,6,BN,S448,R448AS,S1255,NULL,NULL,Up,S,1,Requires No 3 release on points 1839,0,NULL,BRGHTN,E,8,LOVR255,NULL,NULL,2021-02-16 11:49:33.810,20
1001,CAG4,6,BN,S448,R448BS,S1250,NULL,CR,Up,S,1,NULL,0,NULL,BRGHTN,E,8,LOVR250,NULL,NULL,2021-02-16 11:49:33.810,20
1002,CAG4,6,BN,S448,R448CM,S434,NULL,NULL,Up,M,1,NULL,1,NULL,BRGHTN,E,8,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1003,CAG4,6,BN,S448,R448DSNP,S436,NULL,NULL,Up,SNP,1,Cat 3** - ARS shall not set any Permissive Shunt Routes,0,NULL,BRGHTN,E,8,BRGHRC,NULL,NULL,2021-02-16 11:49:33.810,20
1004,CAG4,6,BN,S448,R448DSP,S436,NULL,NULL,Up,SP,1,Cat 3** - ARS shall not set any Permissive Shunt Routes,0,NULL,BRGHTN,E,8,BRGHRC,NULL,NULL,2021-02-16 11:49:33.810,20
1005,CAG4,6,BN,S448,R448EM,S701,NULL,NULL,Dn,M,1,NULL,1,NULL,BRGHTN,E,8,BRGHLRD,NULL,NULL,2021-02-16 11:49:33.810,20
1006,CAG4,6,BN,S450,R450AM,S667,NULL,NULL,Dn,M,1,NULL,1,NULL,BRGHTN,E,3,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1007,CAG4,6,BN,S450,R450BM,S438,3,NULL,Up,M,1,NULL,1,NULL,BRGHTN,E,3,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1008,CAG4,6,BN,S661,R661AM,S665,2,NULL,Dn,M,1,NULL,1,NULL,BRGHTN,E,2,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1010,CAG4,6,BN,S661,R661CS,SL38,NULL,NULL,Dn,S,1,NULL,0,NULL,BRGHTN,E,1,BRGHL38,NULL,NULL,2021-02-16 11:49:33.810,20
1011,CAG4,6,BN,S663,R663M,S669,NULL,NULL,Dn,M,1,NULL,1,NULL,BRGHTN,E,1,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1012,CAG4,6,BN,S665,R665A1M,S669,NULL,NULL,Dn,M,1,NULL,1,1,BRGHTN,E,2,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1013,CAG4,6,BN,S665,R665A2M,S669,NULL,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,BRGHTN,E,2,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1014,CAG4,6,BN,S667,R667M,S669,NULL,NULL,Dn,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1015,CAG4,6,BN,S668,R668AM,SBNPLAT3,3,NULL,Up,M,1,NULL,1,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1017,CAG4,6,BN,S668,R668BC,SBNPLAT2,2,NULL,Up,C,1,Cat 4 - Call-on into bay platform,0,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1018,CAG4,6,BN,S668,R668BM,SBNPLAT2,2,NULL,Up,M,1,NULL,0,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1020,CAG4,6,BN,S668,R668CC,SBNPLAT1,1,NULL,Up,C,1,Cat 4 - Call-on into bay platform,0,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1021,CAG4,6,BN,S668,R668CM,SBNPLAT1,1,NULL,Up,M,1,NULL,0,NULL,NULL,E,NULL,BRGHTN,NULL,NULL,2021-02-16 11:49:33.810,20
1023,CAG4,6,BN,S670,R670M,S668,NULL,NULL,Up,M,1,NULL,1,NULL,NULL,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1024,CAG4,6,HE,S673,R673AM,S677,3,NULL,Dn,M,1,NULL,1,NULL,HOVE673,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1025,CAG4,6,HE,S673,R673AW,S677W,3,NULL,Dn,W,1,NULL,1,NULL,HOVE673,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1026,CAG4,6,HE,S673,R673BM,S679,2,NULL,Dn,M,1,NULL,1,NULL,HOVE673,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1027,CAG4,6,HE,S673,R673CM,S681,1,NULL,Dn,M,1,NULL,1,NULL,HOVE673,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1029,CAG4,6,PP,S674,R674M,S426,NULL,NULL,Up,M,1,NULL,1,NULL,HOVE674,E,NULL,NULL,NULL,NULL,2021-02-16 11:49:33.810,20
1030,CAG4,6,HE,S675,R675AM,S677,3,NULL,Dn,M,1,NULL,1,NULL,HOVE675,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1031,CAG4,6,HE,S675,R675AW,S677W,3,NULL,Dn,W,1,NULL,1,NULL,HOVE675,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1032,CAG4,6,HE,S675,R675B1M,S679,2,NULL,Dn,M,1,NULL,1,1,HOVE675,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1033,CAG4,6,HE,S675,R675B2M,S679,2,NULL,Dn,M,1,Cat 5 - Alternative Route (see note 3 in table 1) Points to be called first,1,2,HOVE675,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1034,CAG4,6,HE,S675,R675CM,S681,1,NULL,Dn,M,1,NULL,1,NULL,HOVE675,E,NULL,HOVE,NULL,NULL,2021-02-16 11:49:33.810,20
1036,CAG4,6,HE,S676,R676AM,S674,NULL,NULL,Up,M,1,NULL,0,NULL,HOVEYD,E,NULL,HOVE674,NULL,NULL,2021-02-16 11:49:33.810,20
1037,CAG4,6,HE,S676,R676BM,S672,NULL,NULL,Up,M,1,NULL,0,NULL,HOVEYD,E,NULL,HOVE672,NULL,NULL,2021-02-16 11:49:33.810,20
1038,CAG4,6,HE,S677,R677M,SLG1,2,NULL,Dn,M,1,NULL,1,NULL,HOVE,E,3,ALDTON,NULL,NULL,2021-02-16 11:49:33.810,20
1039,CAG4,6,HE,S678,R678AM,S674,NULL,NULL,Up,M,1,NULL,1,NULL,HOVE,E,1,HOVE674,NULL,NULL,2021-02-16 11:49:33.810,20
1040,CAG4,6,HE,S678,R678BM,S672,NULL,NULL,Up,M,1,NULL,1,NULL,HOVE,E,1,HOVE672,NULL,NULL,2021-02-16 11:49:33.810,20
1041,CAG4,6,HE,S679,R679M,SLG1,2,NULL,Dn,M,1,NULL,0,NULL,HOVE,E,2,ALDTON,NULL,NULL,2021-02-16 11:49:33.810,20
1042,CAG4,6,HE,S680,R680AM,S674,NULL,NULL,Up,M,1,NULL,1,NULL,HOVE,E,2,HOVE674,NULL,NULL,2021-02-16 11:49:33.810,20
